0,1,2,3,4
,AUTHORS,TITLE,REFERENCE,SUMMARY
,"Lopez de Prado,  Marcos et al.","Transactions of ADIA Lab, Volume 1","World Scientific, 2025.","Transactions of ADIA Lab is a peer-reviewed publication that captures the pioneering research emerging from ADIA Lab's interdisciplinary efforts in computational and data science. This inaugural volume reflects the Lab's rapid evolution into a global research hub, showcasing significant contributions in computational finance, the digital economy, advanced computational methods, and trustworthy AI. [Chapter 1], [Chapter 3], [Chapter 9], [Chapter 12]"
,"Lopez de Prado,  Marcos",Causal Factor Investing,"Cambridge University Press, 2023.","Factor investing remains at a phenomenological stage, as a consequence of authors not formulating causal theories that explain the observed associations. This monograph analyzes the current state of causal confusion in the factor investing literature, and proposes solutions with the potential to transform factor investing into a truly scientific discipline."
,"Lopez de Prado,  Marcos",Machine Learning for Asset Managers,"Cambridge University Press, 2020.","The purpose of this monograph is to introduce ML tools that are useful for discovering economic and financial theories. Successful investment strategies are specific implementations of general theories. An investment strategy that lacks a theoretical justification is likely to be false. Hence, a researcher should concentrate her efforts on developing a theory, rather than of backtesting potential trading rules."
,"Fabozzi, Frank Fabozzi, Francesco A.,  Lopez de Prado,  Marcos;  Stoyanov, Stoyan V.",Asset Management: Tools and Issues,"World Scientific, 2020.","This book provides a description of the tools used in asset management as well as a more indepth explanation of specialized topics and issues covered in the companion book, Fundamentals of Institutional Asset Management."
,"Bailey, David H.; Borwein, Jon M.;  Salehipour, Amir; Lopez de Prado,  Marcos","Do Financial Gurus Produce Reliable Forecasts?, in From Analysis to Visualization","Springer, 2020.","This study develops a novel ranking methodology to rank market forecasters. In particular, we distinguish forecasts by their specificity, rather than considering all predictions and forecasts equally important, and we also analyze the impact of the number of forecasts made by a particular forecaster. We have applied our methodology on a dataset including 6,627 forecasts made by 68 forecasters."
,"Lopez de Prado,  Marcos",AI Pioneers in Investment Management,"CFA Institute, 2019.",A report on how machine learning techniques address the pitfalls of convex optimization in general and MPT in particular.
,"Lopez de Prado,  Marcos",Advances in Financial Machine Learning,"Wiley, 2018.","Machine learning (ML) is changing virtually every aspect of our lives. Today ML algorithms accomplish tasks that until recently only expert humans could perform. As it relates to finance, this is the most exciting time to adopt a disruptive technology that will transform how everyone invests for generations."
,"Lopez de Prado,  Marcos (Ed.)",Special Guide to Applied Data Sciences in Finance,"Journal of Investing, Vol. 25(3). 2016.","Today, scientists model financial markets as true complex dynamic systems, applying methodologies borrowed from all areas of science and engineering. Whether it is signal processing, network analysis or data visualization, modern methods can help us answer fundamental questions that traditional econometric methods have failed to tackle over decades. Co-authors include: Stephen Boyd, Riccardo Rebonato, Phil Goddard, Thomas Wiecki and Jessica Stauth."
,"Bailey, David H.; Ger, Stephanie; Lopez de Prado,  Marcos;  Sim, Alexander;  Wu, Kesheng","Statistical Overfitting and Backtest Performance, in Risk-Based and Factor Investing","Quantitative Finance Elsevier, 2016.","This book (edited by  Emmanuel Jurczenko) is a compilation of recent articles written by leading academics and practitioners in the area of risk-based and factor investing (RBFI). The articles are intended to introduce readers to some of the latest, cutting edge research encountered by academics and professionals dealing with RBFI solutions. Together the authors detail both alternative non-return based portfolio construction techniques and investing style risk premia strategies."
,"Easley, David;  Lopez de Prado,  Marcos;  O'Hara, Maureen  (Coord.)","High Frequency Trading: New Realities for  Traders, Markets and Regulators","Risk  Books, 2013.","An overview of high frequency trading (HFT) strategies,  with a particular focus on how low frequency traders can survive in a high  frequency world.  Contributors include leading practitioners  and academics in this field: Robert Almgren (Quantitative Brokers, New York  University), Wes Bethel (Lawrence Berkeley National Laboratory), Ming Gu  (Lawrence Berkeley National Laboratory), Terry Hendershott (U.C. Berkeley),  Charles Jones (Columbia University), Michael Kearns (S.A.C. Capital,  University of Pennsylvania), David Leinweber (Lawrence Berkeley National  Laboratory), Oliver Linton (University of Cambridge), Albert Menkveld  (University of Amsterdam), Yuryi Nevmyvaka (University of Pennsylvania),  Richard Olsen (Olsen Ltd.), Oliver Ruebel (Lawrence Berkeley National  Laboratory), George Sofianos (Goldman Sachs), Michael Sotiropoulos (Bank of  America Merrill Lynch), Kesheng Wu (Lawrence Berkeley National Laboratory),  and Jean-Pierre Zigrand (London School of Economics)."
,"Lopez de Prado, Marcos",Advances in High Frequency  Strategies,"Complutense University, 2011.",This is the author's second doctoral dissertation. The  generalization of electronic markets and ubiquitous automation of financial  transactions has rendered many established models and theories obsolete. This  work presents a new scientific framework for the study of some of the most  relevant questions concerning High Frequency Trading.
,"Lopez de Prado, Marcos",Invertir en Hedge Funds,"Díaz de Santos,  2003.","This is the author's first doctoral dissertation, which  dealt with portfolio optimization, risk management and capital allocation to  hedge funds. Once hedge funds' hidden risks are taken into account, optimal  allocations are much smaller than proposed by the standard Markowitz  approach."
