0,1,2,3,4
,"Lopez de Prado,  Marcos;  Zoonekynd, Vincent",Why Has Factor Investing Failed?: The Role of Specification Errors  Correcting the Factor Mirage: A Research Protocol for Causal Factor Investing,"Journal of Portfolio Management, 52(3), pp. 10-47. 2026.","We prove that, contrary to popular belief, factor strategies can yield systematic losses even if correlations remain constant and betas are estimated with the correct sign. For this reason, specification errors are arguably more dangerous to investors than p-hacking."
,"Lopez de Prado,  Marcos;  Fabozzi, Francesco",Implementing AI Foundation Models in Asset Management: A Practical Guide,"Journal of Portfolio Management, 52(2), pp. 11-22. 2025.","This article provides a practical, educational overview of how asset management firms can integrate large language models (LLMs), including foundation models, into research, operations, and client-facing workflows."
,"Lopez de Prado,  Marcos;  Zoonekynd, Vincent",Causality and Factor Investing: A Primer,"CFA Institute, 2025.","This paper introduces the concept of the factor mirage—a factor model that appears statistically valid but is causally misspecified, due to collider bias and confounder bias. By shifting from associational to causal reasoning, practitioners can build more robust strategies, reduce false discoveries, and restore trust in factor-based approaches."
,"Lopez de Prado,  Marcos;  Fabozzi, Frank",Ten Applications of Financial Machine Learning,"Journal of Portfolio Management, 52(2), pp. 71-80. 2025.","This article describes ten notable financial applications where ML has moved beyond hype and proven its usefulness. This success does not mean that the use of ML in finance does not face important challenges. The main conclusion is that there is a strong case for applying ML to current financial problems, and that financial ML has a promising future ahead."
,"Herrera, Francisco; Herrera, Andres;  del Ser, Javier;  Herrera-Viedma, Enrique;  Lopez de Prado,  Marcos;","Trustworthy Artificial Intelligence: Nature, Requirements, Regulation, and Emerging Discussions","Transactions of ADIA Lab, 1(1), pp. 317-342. 2025.","We explore TAI from three complementary perspectives, and review contributions from the literature."
,"Lopez de Prado,  Marcos;  Lipton, Alexander; Zoonekynd, Vincent",Causal Factor Analysis is a Necessary Condition for Investment Efficiency,"Journal of Portfolio Management, 52(1), pp. 7-19. 2025.","We show that causal factor modeling is a necessary condition for investment efficiency, and that the prevailing (associational) factor modeling paradigm leads to investment inefficiency. The biases introduced by factor model misspecification can be so large as producing portfolios where investors buy what they should sell and vice versa."
,"Fabozzi, Frank; Lopez de Prado,  Marcos",Interview with Marcos Lopez de Prado of Abu Dhabi Investment Authority (ADIA),"Journal of Portfolio Management, 51(8), pp. 67-73. 2025.","In this interview, I explain my focus on uncovering microscopic alpha using machine learning and specialized teams. I highlight flaws of traditional econometrics, warn against overfitting and black-box models, and emphasize the importance of causal inference. I advocate for a scientific, transparent, and collaborative approach to financial research."
,"Antonov, Alexander;  Lipton, Alexander; Lopez de Prado,  Marcos",Overcoming Markowitz's Instability with the Help of Hierarchical Risk Parity (HRP): Theoretical Evidence,"Risk Magazine, January 2025.",We derive analytical values for the noise of allocation weights coming from the estimated covariance. We demonstrate that the HRP is less noisy (and thus more robust) than the classical Markowitz approach.
,"Fabozzi, Frank;  Lopez de Prado,  Marcos",A Conversation with Don Marcos (aka Marcos López de Prado),"Journal of Portfolio Management, 7(1), pp. 10-16. 2025.","""This interview offers a unique opportunity to delve into the insights of a visionary leader driving innovation in finance and machine learning."""
,"Lopez de Prado,  Marcos;  Simonian, Joseph;  Fabozzi, Francesco;  Fabozzi, Frank",Enhancing Markowitz's Portfolio Selection Paradigm with Machine Learning,"Annals of Operations Research, 346, pp. 319-340. 2025.","By combining traditional econometrics with cutting-edge ML methodologies, we show how to enhance portfolio management processes including alpha generation, risk management, and optimization of risk metrics like conditional value at risk."
