contract_version,lesson_id,image_id,source_ref,resolved_path,resolution_status,referenced_from_section_ids,visual_type,contains_numbers,contains_code,contains_chart,contains_platform_config,extracted_values_ref,technical_reading_ref,doctrine_relevance,requires_human_review,notes
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0001,../02_workshops/15-practice-05/img/000.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/000.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0001.md,image_evidence_notes/sersan_practice_05_donchain_img_0001.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0002,../02_workshops/15-practice-05/img/001.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/001.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0002.md,image_evidence_notes/sersan_practice_05_donchain_img_0002.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0003,../02_workshops/15-practice-05/img/002.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/002.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0003.md,image_evidence_notes/sersan_practice_05_donchain_img_0003.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0004,../02_workshops/15-practice-05/img/006.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/006.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0004.md,image_evidence_notes/sersan_practice_05_donchain_img_0004.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0005,../02_workshops/15-practice-05/img/005.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/005.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0005.md,image_evidence_notes/sersan_practice_05_donchain_img_0005.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0006,../02_workshops/15-practice-05/img/008.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/008.png,resolved_direct,sersan_practice_05_donchain_sec_0002,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0006.md,image_evidence_notes/sersan_practice_05_donchain_img_0006.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0007,../02_workshops/15-practice-05/img/010.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/010.png,resolved_direct,sersan_practice_05_donchain_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0007.md,image_evidence_notes/sersan_practice_05_donchain_img_0007.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0008,../02_workshops/15-practice-05/img/121.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/121.png,resolved_direct,sersan_practice_05_donchain_sec_0004,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0008.md,image_evidence_notes/sersan_practice_05_donchain_img_0008.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0009,../02_workshops/15-practice-05/img/012.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/012.png,resolved_direct,sersan_practice_05_donchain_sec_0004,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0009.md,image_evidence_notes/sersan_practice_05_donchain_img_0009.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0010,../02_workshops/15-practice-05/img/123.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/123.png,resolved_direct,sersan_practice_05_donchain_sec_0004,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0010.md,image_evidence_notes/sersan_practice_05_donchain_img_0010.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_05_donchain,sersan_practice_05_donchain_img_0011,../02_workshops/15-practice-05/img/126.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/15-practice-05/img/126.png,resolved_direct,sersan_practice_05_donchain_sec_0004,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_05_donchain_img_0011.md,image_evidence_notes/sersan_practice_05_donchain_img_0011.md,critical,true,automated contextual image reading; numeric OCR not performed
