contract_version,lesson_id,translation_id,rule_id,target,tsis_artifact_candidate,action_type,priority,blocking_power,consumer_scope,implementation_hint,requires_human_review,source_anchor_refs,notes
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0001,sersan_practice_07_orb_rule_0001,execution_realism_check,TSIS_EXECUTION_REALISM_CHECK_CANDIDATE,block,critical,hard_gate,backtest|live|AlphaEvolve,"Record IS/OOS or comparable validation evidence, local stability and selection rationale before the candidate can feed TSIS evaluators or AlphaEvolve.",true,sersan_practice_07_orb_rule_0001,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0002,sersan_practice_07_orb_rule_0002,data_quality_gate,TSIS_DATA_SEMANTICS_AND_PRICE_VIEW_GATE_CANDIDATE,require,high,hard_gate,backtest|ML|AlphaEvolve,"Version the exit policy and compare variants under the same data, cost and validation assumptions.",true,sersan_practice_07_orb_rule_0002,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0003,sersan_practice_07_orb_rule_0003,strategy_evaluator,TSIS_STRATEGY_ROBUSTNESS_EVALUATOR_CANDIDATE,require,high,hard_gate,backtest|AlphaEvolve,"Record IS/OOS or comparable validation evidence, local stability and selection rationale before the candidate can feed TSIS evaluators or AlphaEvolve.",true,sersan_practice_07_orb_rule_0003,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0004,sersan_practice_07_orb_rule_0004,data_quality_gate,TSIS_DATA_SEMANTICS_AND_PRICE_VIEW_GATE_CANDIDATE,require,high,hard_gate,backtest|ML|AlphaEvolve,"Version the exit policy and compare variants under the same data, cost and validation assumptions.",true,sersan_practice_07_orb_rule_0004,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0005,sersan_practice_07_orb_rule_0005,execution_realism_check,TSIS_EXECUTION_REALISM_CHECK_CANDIDATE,block,critical,hard_gate,backtest|live|AlphaEvolve,Require an execution realism check and mark impossible or non-executable fills before accepting the backtest result.,true,sersan_practice_07_orb_rule_0005,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0006,sersan_practice_07_orb_rule_0006,backtest_checklist,TSIS_BACKTEST_MECHANICS_CHECKLIST_CANDIDATE,require,medium,soft_gate,backtest|research,"Measure before/after impact, trade-count change, stability across periods and interaction with other filters.",true,sersan_practice_07_orb_rule_0006,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0007,sersan_practice_07_orb_rule_0007,strategy_evaluator,TSIS_STRATEGY_ROBUSTNESS_EVALUATOR_CANDIDATE,require,high,hard_gate,backtest|AlphaEvolve,"Record IS/OOS or comparable validation evidence, local stability and selection rationale before the candidate can feed TSIS evaluators or AlphaEvolve.",true,sersan_practice_07_orb_rule_0007,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0008,sersan_practice_07_orb_rule_0008,data_quality_gate,TSIS_DATA_SEMANTICS_AND_PRICE_VIEW_GATE_CANDIDATE,require,high,hard_gate,backtest|ML|AlphaEvolve,"Version the exit policy and compare variants under the same data, cost and validation assumptions.",true,sersan_practice_07_orb_rule_0008,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0009,sersan_practice_07_orb_rule_0009,data_quality_gate,TSIS_DATA_SEMANTICS_AND_PRICE_VIEW_GATE_CANDIDATE,require,high,hard_gate,backtest|ML|AlphaEvolve,"Version the exit policy and compare variants under the same data, cost and validation assumptions.",true,sersan_practice_07_orb_rule_0009,Candidate translation; requires doctrine review before canonical promotion.
sersan_tsis_translation_map_v0_1,sersan_practice_07_orb,sersan_practice_07_orb_tr_0010,sersan_practice_07_orb_rule_0010,data_quality_gate,TSIS_DATA_SEMANTICS_AND_PRICE_VIEW_GATE_CANDIDATE,require,high,hard_gate,backtest|ML|AlphaEvolve,"Version the exit policy and compare variants under the same data, cost and validation assumptions.",true,sersan_practice_07_orb_rule_0010,Candidate translation; requires doctrine review before canonical promotion.
