contract_version,lesson_id,image_id,source_ref,resolved_path,resolution_status,referenced_from_section_ids,visual_type,contains_numbers,contains_code,contains_chart,contains_platform_config,extracted_values_ref,technical_reading_ref,doctrine_relevance,requires_human_review,notes
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0001,../img/001.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/001.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0001.md,image_evidence_notes/sersan_practice_16_revised_img_0001.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0002,../img/002.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/002.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0002.md,image_evidence_notes/sersan_practice_16_revised_img_0002.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0003,../img/003.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/003.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0003.md,image_evidence_notes/sersan_practice_16_revised_img_0003.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0004,../img/004.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/004.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0004.md,image_evidence_notes/sersan_practice_16_revised_img_0004.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0005,../img/005.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/005.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0005.md,image_evidence_notes/sersan_practice_16_revised_img_0005.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0006,../img/006.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/006.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0006.md,image_evidence_notes/sersan_practice_16_revised_img_0006.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0007,../img/007.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/007.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0007.md,image_evidence_notes/sersan_practice_16_revised_img_0007.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0008,../img/008.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/008.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0008.md,image_evidence_notes/sersan_practice_16_revised_img_0008.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0009,../img/009.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/009.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0009.md,image_evidence_notes/sersan_practice_16_revised_img_0009.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0010,../img/010.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/010.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0010.md,image_evidence_notes/sersan_practice_16_revised_img_0010.md,critical,true,automated contextual image reading; numeric OCR not performed
sersan_image_evidence_index_v0_1,sersan_practice_16_revised,sersan_practice_16_revised_img_0011,../img/011.png,00_CTO/99_REFERENCE_LIBRARY/SersanSistemas/02_workshops/26-practice-16/img/011.png,resolved_lesson_fallback,sersan_practice_16_revised_sec_0003,optimization_map,true,false,true,false,image_evidence_notes/sersan_practice_16_revised_img_0011.md,image_evidence_notes/sersan_practice_16_revised_img_0011.md,critical,true,automated contextual image reading; numeric OCR not performed
