contract_version,lesson_id,image_id,source_ref,resolved_path,resolution_status,referenced_from_section_ids,visual_type,contains_numbers,contains_code,contains_chart,contains_platform_config,extracted_values_ref,technical_reading_ref,doctrine_relevance,requires_human_review,notes
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_000,../02_workshops/19-practice-09/img/000.png,02_workshops/19-practice-09/img/000.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0002,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_001,../02_workshops/19-practice-09/img/001.png,02_workshops/19-practice-09/img/001.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0002,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_002,../02_workshops/19-practice-09/img/002.png,02_workshops/19-practice-09/img/002.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0002,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_003,../02_workshops/19-practice-09/img/003.png,02_workshops/19-practice-09/img/003.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0003,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_004,../02_workshops/19-practice-09/img/004.png,02_workshops/19-practice-09/img/004.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0003,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_005,../02_workshops/19-practice-09/img/005.png,02_workshops/19-practice-09/img/005.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0003,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_006,../02_workshops/19-practice-09/img/006.png,02_workshops/19-practice-09/img/006.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0003,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_008,../02_workshops/19-practice-09/img/008.png,02_workshops/19-practice-09/img/008.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0003,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_011,../02_workshops/19-practice-09/img/011.png,02_workshops/19-practice-09/img/011.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0004,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
sersan_image_evidence_index_v0_1,sersan_practice_09_revision_apolo,sersan_practice_09_revision_apolo_img_010,../02_workshops/19-practice-09/img/010.png,02_workshops/19-practice-09/img/010.png,resolved_direct,sersan_practice_09_revision_apolo_sec_0004,screenshot_or_slide,False,False,False,False,,,low,False,Imagen indexada estructuralmente; no se promueve como evidencia doctrinal en este piloto.
